latitude,longitude,fires
57.500000,79.000000,5.721605
56.500000,-4.000000,0.256191
56.500000,13.000000,0.256191
55.500000,-126.500000,0.512383
55.500000,-126.000000,0.426985
55.500000,-115.500000,0.341588
55.000000,-126.000000,0.341588
55.000000,-120.500000,5.465414
55.000000,-119.500000,0.939368
55.000000,-1.500000,0.853971
54.500000,-125.000000,0.939368
54.500000,-124.000000,1.707942
54.500000,-115.500000,1.366354
54.000000,-124.500000,1.622545
53.500000,-125.500000,1.451751
53.500000,-125.000000,1.110162
53.500000,-124.500000,0.512383
53.500000,-123.500000,2.391119
53.000000,-124.000000,0.512383
53.000000,-123.500000,0.683177
53.000000,13.000000,0.170794
52.500000,-116.000000,1.707942
52.500000,10.000000,0.256191
52.500000,14.500000,0.426985
52.500000,119.500000,5.380017
52.000000,-123.500000,3.501281
52.000000,78.500000,0.683177
52.000000,113.500000,1.451751
51.500000,-123.500000,2.988898
51.500000,-123.000000,1.707942
51.500000,39.000000,0.768574
51.500000,112.500000,1.451751
51.500000,114.000000,1.110162
51.000000,-121.500000,0.853971
50.500000,-121.500000,0.683177
50.500000,31.500000,0.256191
50.500000,114.500000,0.853971
50.000000,-125.500000,0.426985
50.000000,-122.000000,0.512383
50.000000,18.000000,0.768574
50.000000,22.500000,0.170794
50.000000,23.000000,0.170794
50.000000,29.500000,0.170794
50.000000,30.000000,0.170794
50.000000,32.500000,0.256191
49.500000,-124.500000,1.280956
49.500000,-122.000000,0.341588
49.500000,23.000000,0.170794
49.500000,28.500000,0.341588
49.500000,29.000000,0.341588
49.500000,33.000000,0.170794
49.500000,123.000000,1.024765
49.000000,-124.000000,0.170794
49.000000,25.000000,0.170794
49.000000,29.500000,0.170794
49.000000,30.000000,0.170794
49.000000,34.500000,0.256191
49.000000,35.000000,0.256191
49.000000,123.000000,0.512383
48.500000,-124.000000,0.256191
48.500000,29.000000,0.170794
48.500000,30.500000,0.170794
48.000000,-115.000000,0.768574
48.000000,21.500000,0.170794
48.000000,57.000000,10.503843
47.500000,26.500000,0.170794
47.500000,30.000000,0.170794
47.500000,122.500000,0.426985
47.000000,-124.000000,0.170794
47.000000,-121.000000,0.256191
47.000000,-120.000000,0.256191
